Member_number,Date,itemDescription
2507,12/30/2015,coffee
3358,3/19/2015,soda
1930,4/18/2015,mayonnaise
2764,12/28/2015,tropical fruit
3025,6/16/2015,tea
2201,3/5/2015,butter milk
3982,7/25/2015,yogurt
2117,3/28/2015,bottled water
2706,12/2/2015,other vegetables
4924,8/26/2015,specialty bar
3851,10/5/2015,butter
4036,5/26/2015,whole milk
2202,9/28/2015,tidbits
1574,12/2/2015,brown bread
1417,7/13/2015,pot plants
3204,8/5/2015,shopping bags
3445,1/10/2015,cream cheese 
3748,5/3/2015,spread cheese
4061,9/5/2015,berries
2855,9/9/2015,soda
4548,7/28/2015,root vegetables
3881,7/4/2015,canned beer
3864,12/12/2015,specialty bar
2766,8/19/2015,oil
3953,5/13/2015,pip fruit
4526,8/24/2015,rolls/buns
1468,9/10/2015,other vegetables
4982,1/8/2015,pastry
3450,4/27/2015,meat
1330,2/11/2015,soda
4456,4/17/2015,other vegetables
4606,3/30/2015,bottled beer
3773,11/27/2015,soda
4593,12/2/2015,other vegetables
2244,1/28/2015,yogurt
4296,8/26/2015,yogurt
3296,2/3/2015,root vegetables
1114,10/7/2015,UHT-milk
3480,7/5/2015,misc. beverages
3842,10/14/2015,white bread
1715,5/21/2015,specialty chocolate
4052,4/21/2015,whole milk
2663,5/28/2015,berries
1861,5/19/2015,other vegetables
2181,6/23/2015,roll products 
2319,10/5/2015,yogurt
4277,6/12/2015,rolls/buns
2193,7/1/2015,liquor (appetizer)
3589,5/10/2015,tropical fruit
3144,6/19/2015,pet care
4044,8/26/2015,margarine
4048,8/5/2015,rolls/buns
2272,1/31/2015,waffles
4637,5/14/2015,pastry
3640,1/26/2015,white wine
2599,11/22/2015,tropical fruit
1363,10/14/2015,margarine
3560,9/27/2015,bottled beer
1228,2/23/2015,beverages
3749,9/3/2015,napkins
1358,12/29/2015,vinegar
2586,10/26/2015,cling film/bags
4626,12/24/2015,rolls/buns
1857,10/9/2015,pip fruit
2646,11/11/2015,root vegetables
4242,9/12/2015,whole milk
2344,2/14/2015,root vegetables
1646,8/15/2015,sliced cheese
3450,8/3/2015,pork
4645,12/29/2015,soda
3154,10/4/2015,root vegetables
2037,4/19/2015,grapes
2078,10/16/2015,pork
2444,12/5/2015,yogurt
2100,10/13/2015,citrus fruit
4689,4/6/2015,UHT-milk
4430,2/22/2015,hamburger meat
1997,10/26/2015,pip fruit
3414,5/2/2015,bottled beer
2289,6/9/2015,ice cream
3137,8/24/2015,other vegetables
1696,1/3/2015,whole milk
1332,3/4/2015,rolls/buns
4748,3/24/2015,root vegetables
4505,4/17/2015,dishes
4336,4/27/2015,whipped/sour cream
2800,3/17/2015,sauces
4456,3/21/2015,dessert
3537,12/7/2015,semi-finished bread
1331,4/29/2015,whipped/sour cream
1140,6/26/2015,other vegetables
1976,10/14/2015,root vegetables
3353,4/13/2015,yogurt
2190,5/14/2015,rolls/buns
3221,6/29/2015,soda
4878,9/21/2015,packaged fruit/vegetables
2291,9/20/2015,roll products 
2542,8/3/2015,yogurt
3770,1/13/2015,long life bakery product
3892,7/20/2015,herbs
2515,7/22/2015,shopping bags
4687,1/13/2015,fruit/vegetable juice
3743,6/5/2015,sliced cheese
1031,10/15/2015,other vegetables
4245,4/6/2015,yogurt
1851,6/29/2015,whole milk
1788,12/20/2015,berries
3166,1/15/2015,waffles
4108,9/27/2015,yogurt
4078,4/25/2015,specialty chocolate
1784,9/26/2015,curd
4001,6/21/2015,soda
3202,11/14/2015,butter
1939,7/15/2015,whole milk
2530,8/30/2015,other vegetables
2893,12/12/2015,canned fish
3666,2/16/2015,other vegetables
1123,12/11/2015,soda
1098,7/5/2015,napkins
4319,5/21/2015,UHT-milk
4761,1/3/2015,other vegetables
3790,7/26/2015,domestic eggs
4296,7/28/2015,chicken
4450,7/30/2015,condensed milk
2434,9/18/2015,coffee
3779,10/11/2015,white bread
1613,3/8/2015,canned vegetables
3209,12/28/2015,newspapers
4895,7/9/2015,domestic eggs
1654,3/25/2015,shopping bags
1126,4/29/2015,whole milk
1254,4/19/2015,specialty bar
3168,2/5/2015,flour
1892,9/30/2015,citrus fruit
1936,5/20/2015,dishes
3132,7/30/2015,yogurt
4316,11/1/2015,other vegetables
4375,5/10/2015,domestic eggs
3468,8/7/2015,vinegar
2488,8/19/2015,onions
1769,12/30/2015,whole milk
4937,10/4/2015,coffee
3389,8/17/2015,cream cheese 
1439,8/13/2015,whole milk
2542,11/24/2015,root vegetables
2065,1/22/2015,other vegetables
3830,10/7/2015,packaged fruit/vegetables
3686,1/4/2015,pip fruit
2774,10/28/2015,soda
2204,7/16/2015,detergent
4833,10/3/2015,pip fruit
1477,8/2/2015,rolls/buns
4697,11/9/2015,bottled water
2435,9/29/2015,beef
2164,3/19/2015,semi-finished bread
3557,2/2/2015,bottled water
4319,8/11/2015,fruit/vegetable juice
3615,8/13/2015,spread cheese
1902,10/21/2015,ice cream
4390,1/20/2015,coffee
1985,11/26/2015,whole milk
1265,9/29/2015,tropical fruit
2023,8/31/2015,bottled beer
4288,9/25/2015,ham
2261,6/29/2015,packaged fruit/vegetables
3073,1/17/2015,nut snack
2406,4/9/2015,whole milk
3983,7/20/2015,butter milk
1737,1/23/2015,liquor
1304,4/30/2015,whipped/sour cream
4227,8/20/2015,coffee
3987,6/17/2015,pastry
4127,12/11/2015,herbs
1734,3/20/2015,rum
2770,7/15/2015,coffee
1454,1/13/2015,tropical fruit
2256,8/21/2015,whipped/sour cream
2625,11/18/2015,specialty bar
4335,5/12/2015,whole milk
3738,5/24/2015,waffles
2394,8/19/2015,whole milk
1927,5/15/2015,white wine
3681,10/14/2015,soft cheese
2435,8/30/2015,whole milk
1728,8/15/2015,bottled water
4708,4/14/2015,other vegetables
1010,7/31/2015,candles
3735,4/20/2015,seasonal products
3331,5/19/2015,ice cream
2383,5/10/2015,long life bakery product
1160,11/20/2015,tropical fruit
4890,4/22/2015,whole milk
3513,5/29/2015,waffles
2525,1/14/2015,soda
3708,3/9/2015,other vegetables
4746,6/6/2015,cake bar
4784,11/9/2015,coffee
2051,2/1/2015,domestic eggs
4745,12/4/2015,rolls/buns
4364,1/17/2015,dessert
1493,2/23/2015,whole milk
1330,5/18/2015,berries
1777,10/7/2015,pastry
2633,10/7/2015,rolls/buns
1917,1/23/2015,yogurt
4891,9/1/2015,butter
3828,6/15/2015,canned fish
2282,11/5/2015,margarine
2743,10/8/2015,specialty cheese
2704,11/18/2015,red/blush wine
4170,11/7/2015,red/blush wine
3867,7/9/2015,skin care
2592,4/23/2015,fruit/vegetable juice
1894,3/10/2015,soda
2348,8/9/2015,frozen vegetables
3747,2/24/2015,butter
4220,8/21/2015,rolls/buns
4504,4/9/2015,citrus fruit
3175,11/23/2015,soda
4240,6/28/2015,frozen dessert
4608,11/25/2015,frozen vegetables
3053,3/12/2015,brown bread
4096,6/29/2015,butter milk
2517,1/28/2015,yogurt
1899,10/24/2015,liquor
2934,11/5/2015,whipped/sour cream
2508,12/27/2015,cleaner
1527,5/14/2015,frozen vegetables
1431,7/11/2015,bottled water
4148,9/2/2015,butter milk
3862,5/3/2015,yogurt
3402,11/4/2015,mayonnaise
3178,8/12/2015,whole milk
2134,9/26/2015,liquor (appetizer)
1038,4/23/2015,herbs
4780,9/19/2015,condensed milk
1251,11/26/2015,dessert
4293,9/30/2015,misc. beverages
3676,10/24/2015,canned beer
2992,9/11/2015,pet care
4124,5/22/2015,frozen vegetables
4756,9/18/2015,frozen fish
1422,4/10/2015,whole milk
1229,3/20/2015,whipped/sour cream
4733,1/19/2015,nuts/prunes
2053,9/17/2015,cream cheese 
4230,3/15/2015,root vegetables
3968,12/11/2015,newspapers
4935,2/4/2015,root vegetables
2290,12/1/2015,hamburger meat
2143,7/25/2015,tropical fruit
3657,1/22/2015,soda
4369,8/25/2015,whole milk
2639,12/11/2015,citrus fruit
2706,8/14/2015,whole milk
2133,5/8/2015,whole milk
3635,7/23/2015,chocolate
2734,3/30/2015,shopping bags
1080,5/14/2015,frozen vegetables
4413,11/10/2015,spread cheese
1729,8/28/2015,whole milk
2167,10/18/2015,mayonnaise
1391,3/19/2015,rolls/buns
3347,5/6/2015,canned beer
4091,12/28/2015,waffles
4589,10/7/2015,frozen vegetables
3590,2/27/2015,shopping bags
4147,2/1/2015,newspapers
4187,9/14/2015,sliced cheese
2613,11/4/2015,yogurt
4197,3/11/2015,pastry
4553,6/13/2015,coffee
3045,3/26/2015,coffee
2079,7/19/2015,whole milk
1108,7/30/2015,whole milk
4306,4/26/2015,brown bread
2761,2/3/2015,whipped/sour cream
3931,8/3/2015,bottled beer
4351,8/5/2015,red/blush wine
2788,3/9/2015,onions
3962,5/28/2015,yogurt
3690,5/21/2015,pork
4937,6/28/2015,other vegetables
2544,1/20/2015,frozen potato products
2439,10/31/2015,salty snack
2952,11/8/2015,bottled beer
1472,9/19/2015,bottled water
3781,4/21/2015,frozen dessert
1079,9/9/2015,onions
4636,5/1/2015,sauces
4644,8/25/2015,hygiene articles
2226,2/17/2015,sliced cheese
4477,2/15/2015,whole milk
3132,8/29/2015,UHT-milk
4295,3/24/2015,tropical fruit
2918,11/12/2015,pip fruit
3167,3/2/2015,whipped/sour cream
1993,5/22/2015,curd
4643,8/8/2015,dessert
3999,6/2/2015,processed cheese
2625,3/22/2015,shopping bags
2398,8/1/2015,soda
2945,7/19/2015,pastry
3523,4/26/2015,salty snack
1726,12/26/2015,pip fruit
4540,2/24/2015,cleaner
4479,10/2/2015,margarine
1472,11/2/2015,yogurt
1149,12/12/2015,frozen vegetables
2504,2/8/2015,condensed milk
4835,9/12/2015,root vegetables
1832,11/17/2015,pastry
1403,3/25/2015,semi-finished bread
4856,1/18/2015,hygiene articles
3369,2/22/2015,butter
4364,12/24/2015,mayonnaise
4686,12/11/2015,citrus fruit
2876,3/22/2015,fruit/vegetable juice
1449,1/26/2015,domestic eggs
3499,4/5/2015,white wine
3462,5/16/2015,cream cheese 
1512,2/23/2015,salty snack
1551,1/14/2015,frozen fish
3993,2/18/2015,butter milk
3494,3/25/2015,whole milk
1819,6/25/2015,soda
3581,6/9/2015,dishes
3763,4/29/2015,coffee
2807,3/7/2015,whole milk
1133,3/26/2015,whole milk
4923,4/19/2015,rolls/buns
3912,6/1/2015,rolls/buns
4312,10/19/2015,long life bakery product
3141,8/13/2015,salty snack
5000,10/2/2015,root vegetables
3327,4/30/2015,brown bread
1058,6/4/2015,bottled water
4397,3/4/2015,yogurt
3694,10/27/2015,citrus fruit
3346,11/5/2015,ice cream
1039,5/31/2015,rolls/buns
1081,1/21/2015,whole milk
3064,2/1/2015,other vegetables
4794,10/27/2015,tropical fruit
4933,2/1/2015,bottled water
3312,10/13/2015,berries
1303,5/29/2015,pastry
4756,3/29/2015,whipped/sour cream
3595,6/8/2015,other vegetables
2747,2/2/2015,pickled vegetables
4113,8/13/2015,rolls/buns
2882,4/26/2015,chewing gum
1980,10/15/2015,brown bread
3534,11/11/2015,pastry
4452,11/23/2015,other vegetables
1883,5/26/2015,butter milk
4160,12/8/2015,pip fruit
3212,4/18/2015,whole milk
2327,8/12/2015,butter
1874,7/29/2015,yogurt
4439,1/1/2015,tropical fruit
4883,10/1/2015,newspapers
1873,2/22/2015,red/blush wine
4228,4/18/2015,cooking chocolate
2868,4/12/2015,yogurt
4102,9/23/2015,other vegetables
1013,2/10/2015,domestic eggs
1928,8/15/2015,bottled water
2064,8/21/2015,ice cream
3416,11/15/2015,other vegetables
1536,5/1/2015,pastry
1953,9/3/2015,pet care
1327,4/7/2015,bottled beer
3415,5/27/2015,curd
2517,3/22/2015,yogurt
4334,12/10/2015,other vegetables
4515,6/15/2015,other vegetables
1527,4/20/2015,napkins
1726,2/11/2015,dessert
4734,10/2/2015,yogurt
2356,6/15/2015,pastry
2244,3/29/2015,semi-finished bread
4281,3/4/2015,whole milk
2977,4/14/2015,popcorn
2119,9/24/2015,soda
3208,6/24/2015,root vegetables
2663,5/18/2015,whipped/sour cream
3344,1/4/2015,whole milk
3592,12/14/2015,pip fruit
2106,11/24/2015,yogurt
3356,5/23/2015,domestic eggs
3227,11/30/2015,pastry
1505,7/27/2015,citrus fruit
1035,4/24/2015,yogurt
4312,12/14/2015,frozen fish
1253,6/20/2015,baking powder
2260,10/30/2015,mayonnaise
3710,8/22/2015,spread cheese
1846,11/29/2015,mustard
3520,9/11/2015,other vegetables
2816,6/19/2015,mustard
1051,10/11/2015,red/blush wine
1754,8/7/2015,coffee
3593,8/31/2015,instant coffee
1421,7/8/2015,hard cheese
3104,4/6/2015,citrus fruit
1283,5/30/2015,specialty bar
1130,9/18/2015,dessert
2816,1/10/2015,seasonal products
4594,6/23/2015,butter milk
4192,12/16/2015,UHT-milk
3208,11/20/2015,cream cheese 
1949,11/4/2015,napkins
4268,4/25/2015,dessert
2672,1/17/2015,pastry
2372,3/9/2015,white bread
4482,7/8/2015,hard cheese
1048,6/10/2015,whole milk
4831,2/19/2015,frozen vegetables
3441,12/4/2015,root vegetables
3380,11/11/2015,margarine
1654,9/11/2015,citrus fruit
2408,6/21/2015,tropical fruit
4699,1/8/2015,red/blush wine
2670,4/29/2015,onions
4292,8/18/2015,specialty chocolate
4303,2/22/2015,tropical fruit
2011,3/22/2015,rolls/buns
3657,9/29/2015,soda
1435,1/14/2015,prosecco
4445,5/20/2015,chocolate
4030,8/15/2015,pastry
1204,11/4/2015,bottled beer
1235,1/1/2015,bottled beer
3984,3/2/2015,canned vegetables
3637,11/25/2015,yogurt
1931,2/7/2015,bottled water
4486,10/23/2015,rolls/buns
4529,3/1/2015,soda
1827,7/5/2015,specialty bar
3054,5/27/2015,onions
2524,10/21/2015,candy
1855,9/11/2015,whole milk
3242,2/23/2015,pip fruit
4431,8/21/2015,butter
4555,7/23/2015,whole milk
4299,8/2/2015,beef
2905,10/22/2015,cream cheese 
3323,9/12/2015,oil
2796,10/17/2015,rolls/buns
2129,4/3/2015,candy
1501,8/17/2015,fruit/vegetable juice
2814,7/17/2015,whole milk
1105,5/22/2015,tropical fruit
3798,4/9/2015,yogurt
3025,4/21/2015,bottled beer
4592,7/13/2015,newspapers
4463,3/11/2015,canned beer
2916,6/13/2015,whole milk
1838,3/25/2015,photo/film
1126,5/17/2015,root vegetables
2800,2/10/2015,margarine
4485,7/25/2015,whole milk
3262,8/7/2015,tropical fruit
4030,12/22/2015,other vegetables
3370,3/2/2015,liquor (appetizer)
3489,1/9/2015,yogurt
2386,3/1/2015,newspapers
3774,2/16/2015,rolls/buns
3818,5/13/2015,tropical fruit
3434,10/6/2015,rolls/buns
3438,12/27/2015,photo/film
1140,1/5/2015,other vegetables
1051,12/10/2015,hamburger meat
3071,3/26/2015,dishes
3872,3/28/2015,canned beer
4215,6/30/2015,whole milk
3806,3/15/2015,mayonnaise
1869,5/16/2015,whole milk
1668,5/5/2015,pip fruit
1163,12/14/2015,citrus fruit
4787,5/17/2015,UHT-milk
4811,11/1/2015,pet care
4364,5/9/2015,pickled vegetables
4572,2/8/2015,pip fruit
3222,5/8/2015,whole milk
3404,3/24/2015,shopping bags
2221,12/18/2015,pork
3646,1/31/2015,turkey
4102,7/15/2015,whole milk
2718,12/6/2015,turkey
1403,5/16/2015,curd
4548,5/30/2015,cream cheese 
4340,6/8/2015,frozen fish
2856,8/21/2015,other vegetables
1041,2/4/2015,yogurt
1564,6/19/2015,yogurt
4552,10/17/2015,root vegetables
2516,7/31/2015,whole milk
4246,6/13/2015,rolls/buns
1090,10/21/2015,whole milk
2889,1/20/2015,yogurt
2229,1/31/2015,long life bakery product
4558,5/4/2015,tropical fruit
2018,4/20/2015,curd
4898,7/26/2015,flour
4998,10/14/2015,curd
2165,1/28/2015,other vegetables
3075,10/15/2015,semi-finished bread
3973,1/28/2015,butter
3775,10/27/2015,coffee
3135,7/26/2015,onions
2738,7/25/2015,rolls/buns
4455,10/24/2015,curd
2780,3/9/2015,herbs
3593,5/27/2015,other vegetables
1876,6/16/2015,frozen meals
4694,11/18/2015,oil
4273,1/6/2015,frozen vegetables
4968,11/13/2015,herbs
2449,4/21/2015,yogurt
1536,2/5/2015,rolls/buns
2188,11/28/2015,bottled beer
4197,5/13/2015,cream
2379,11/8/2015,yogurt
4696,8/18/2015,citrus fruit
2680,3/1/2015,yogurt
4525,11/5/2015,whole milk
1098,12/11/2015,other vegetables
1222,7/8/2015,coffee
2316,8/6/2015,tropical fruit
1950,6/14/2015,sliced cheese
3186,3/8/2015,rolls/buns
2540,5/3/2015,rolls/buns
1789,11/6/2015,frozen dessert
1574,4/8/2015,pork
2152,7/23/2015,fruit/vegetable juice
1493,1/10/2015,spices
3044,9/5/2015,other vegetables
2874,9/9/2015,whole milk
3556,9/30/2015,seasonal products
3255,5/24/2015,domestic eggs
2521,12/14/2015,margarine
3220,10/14/2015,citrus fruit
1381,6/3/2015,UHT-milk
4050,6/7/2015,curd
1872,1/29/2015,onions
4127,11/4/2015,margarine
2833,8/14/2015,whipped/sour cream
2357,9/23/2015,soda
2654,3/3/2015,citrus fruit
4852,4/28/2015,soda
2222,7/21/2015,butter
2340,12/7/2015,soda
1987,10/15/2015,napkins
3570,2/9/2015,other vegetables
1320,1/19/2015,root vegetables
2209,7/20/2015,onions
2500,3/30/2015,white wine
3315,12/9/2015,onions
2548,11/16/2015,brown bread
4473,7/9/2015,rolls/buns
2271,6/16/2015,instant coffee
4336,10/10/2015,pot plants
2763,1/2/2015,yogurt
2780,11/10/2015,whole milk
2632,1/16/2015,butter
2568,8/20/2015,root vegetables
1729,7/23/2015,newspapers
3878,7/28/2015,tropical fruit
1225,3/26/2015,bottled beer
1924,11/17/2015,UHT-milk
4335,10/6/2015,shopping bags
3182,12/3/2015,whole milk
4303,8/23/2015,soups
3042,2/10/2015,bottled water
4493,10/29/2015,root vegetables
4194,7/2/2015,pip fruit
3031,12/18/2015,whipped/sour cream
3891,3/7/2015,shopping bags
1062,4/16/2015,other vegetables
2469,3/23/2015,onions
3719,3/9/2015,cleaner
3322,11/2/2015,whole milk
1336,10/3/2015,coffee
1067,7/20/2015,coffee
1998,5/15/2015,whole milk
1076,10/14/2015,whole milk
1992,2/8/2015,other vegetables
1261,5/21/2015,rolls/buns
4409,1/15/2015,whole milk
3031,8/30/2015,other vegetables
2129,3/18/2015,pip fruit
1684,3/1/2015,coffee
4240,9/18/2015,whole milk
2750,9/14/2015,pork
1379,7/13/2015,canned beer
4243,8/22/2015,hard cheese
2469,12/1/2015,whole milk
2346,9/17/2015,whole milk
2366,8/18/2015,pastry
2374,6/23/2015,root vegetables
1721,10/15/2015,whole milk
2877,10/4/2015,waffles
3848,11/10/2015,frozen vegetables
4344,1/3/2015,long life bakery product
3475,10/6/2015,whole milk
3650,7/17/2015,beef
2318,1/16/2015,root vegetables
1776,2/3/2015,pastry
3120,7/7/2015,butter
1194,5/13/2015,soda
2089,4/17/2015,UHT-milk
2095,6/4/2015,whole milk
1736,8/29/2015,chocolate
3718,12/7/2015,pudding powder
4950,4/22/2015,UHT-milk
2481,11/24/2015,shopping bags
1296,6/11/2015,root vegetables
2824,7/12/2015,whole milk
4852,6/29/2015,rolls/buns
1648,2/27/2015,rolls/buns
3307,6/10/2015,specialty bar
4259,6/24/2015,butter
2587,2/6/2015,frozen vegetables
4303,8/4/2015,other vegetables
1325,5/26/2015,root vegetables
3351,10/14/2015,margarine
1623,1/18/2015,specialty chocolate
3119,2/20/2015,newspapers
1211,5/24/2015,salty snack
4146,9/2/2015,pastry
1753,2/26/2015,other vegetables
4664,5/26/2015,frozen vegetables
3827,3/11/2015,soft cheese
1098,9/27/2015,bottled water
4338,8/27/2015,ham
3712,12/20/2015,jam
1505,10/27/2015,other vegetables
4478,2/8/2015,newspapers
4150,8/23/2015,pastry
1118,12/25/2015,butter
2537,7/5/2015,oil
1996,10/5/2015,root vegetables
4267,9/13/2015,whipped/sour cream
4424,10/16/2015,pork
1948,6/5/2015,yogurt
3495,1/2/2015,pork
2327,3/18/2015,whipped/sour cream
3356,12/1/2015,processed cheese
3926,3/23/2015,other vegetables
4105,3/12/2015,whole milk
1884,5/8/2015,onions
4799,9/2/2015,long life bakery product
4915,9/18/2015,berries
2643,1/12/2015,dessert
3927,3/9/2015,frozen meals
2410,11/18/2015,butter
1855,4/28/2015,frozen vegetables
1245,2/3/2015,rolls/buns
3138,4/19/2015,hard cheese
1178,4/19/2015,pork
1870,5/9/2015,soda
4660,10/7/2015,root vegetables
3241,9/8/2015,whole milk
4661,4/18/2015,onions
2407,10/3/2015,frozen vegetables
2440,6/19/2015,liquor
4634,5/15/2015,pork
4112,2/14/2015,specialty chocolate
2428,8/21/2015,butter
3604,3/14/2015,sugar
3671,3/8/2015,oil
2880,6/19/2015,whole milk
3946,6/19/2015,citrus fruit
4495,6/20/2015,whipped/sour cream
3355,2/12/2015,other vegetables
3959,5/27/2015,sliced cheese
1583,11/23/2015,sugar
3998,3/28/2015,other vegetables
4509,11/29/2015,yogurt
1008,3/10/2015,liver loaf
4894,12/23/2015,onions
4252,10/4/2015,butter
3428,3/16/2015,cake bar
1988,8/9/2015,other vegetables
4662,10/19/2015,other vegetables
3165,11/27/2015,liquor
1920,2/16/2015,specialty fat
4157,4/1/2015,other vegetables
1945,4/30/2015,hamburger meat
4104,7/27/2015,whole milk
2865,5/14/2015,other vegetables
4788,4/28/2015,yogurt
1903,1/25/2015,other vegetables
3578,5/16/2015,root vegetables
2238,6/12/2015,yogurt
3671,11/10/2015,bottled beer
3088,3/12/2015,canned fish
1832,4/17/2015,specialty chocolate
4785,9/13/2015,fruit/vegetable juice
1322,10/19/2015,specialty bar
4439,3/18/2015,turkey
1698,6/26/2015,pork
3558,4/25/2015,soda
3026,1/1/2015,soda
1127,10/15/2015,pastry
4153,5/2/2015,liquor
4258,4/22/2015,fruit/vegetable juice
2582,11/14/2015,root vegetables
1466,1/12/2015,mayonnaise
4185,1/16/2015,coffee
1889,9/2/2015,berries
3396,5/14/2015,soda
3412,1/26/2015,waffles
3321,7/13/2015,yogurt
3484,11/21/2015,semi-finished bread
1937,10/17/2015,newspapers
2101,12/20/2015,onions
4006,12/18/2015,whipped/sour cream
3732,7/18/2015,white wine
1276,4/28/2015,rolls/buns
4916,1/3/2015,brown bread
2040,6/4/2015,chocolate
2255,1/5/2015,whole milk
1239,7/25/2015,bottled beer
4992,6/20/2015,pip fruit
3225,12/6/2015,whole milk
2421,11/21/2015,whole milk
3303,1/25/2015,butter
3455,9/13/2015,pastry
1484,7/10/2015,white wine
3591,11/5/2015,butter
2487,3/27/2015,canned beer
1380,4/20/2015,cake bar
2786,3/25/2015,butter
1885,5/27/2015,waffles
1295,1/28/2015,bottled water
2184,1/23/2015,other vegetables
4054,6/5/2015,whole milk
3972,8/6/2015,bottled water
1216,6/19/2015,brown bread
1347,7/31/2015,other vegetables
4190,4/4/2015,newspapers
3264,5/4/2015,whole milk
2942,1/2/2015,waffles
2932,1/22/2015,butter
4049,1/8/2015,curd
1954,6/8/2015,whole milk
2321,6/16/2015,rolls/buns
2930,3/23/2015,oil
3214,3/27/2015,UHT-milk
4877,6/20/2015,UHT-milk
1277,7/6/2015,whole milk
2239,12/13/2015,fruit/vegetable juice
4929,3/26/2015,butter
1390,2/3/2015,whole milk
1870,9/9/2015,other vegetables
3405,3/4/2015,brown bread
2338,8/12/2015,curd
2051,11/9/2015,newspapers
3504,6/7/2015,hamburger meat
3405,4/13/2015,pip fruit
2512,2/9/2015,baking powder
4038,6/11/2015,white bread
1759,9/26/2015,pork
2813,1/10/2015,yogurt
3055,8/18/2015,hamburger meat
1733,3/18/2015,root vegetables
1913,8/18/2015,pork
4864,3/27/2015,whole milk
4812,5/27/2015,liquor
3042,5/10/2015,other vegetables
4988,4/10/2015,other vegetables
4486,7/21/2015,soft cheese
4069,3/5/2015,other vegetables
4600,7/14/2015,domestic eggs
3588,5/5/2015,roll products 
4175,1/29/2015,grapes
2599,7/30/2015,cream cheese 
4671,7/15/2015,coffee
2270,9/6/2015,berries
2494,5/5/2015,soft cheese
1406,12/28/2015,curd
3910,12/18/2015,other vegetables
3358,2/21/2015,soda
1943,1/14/2015,onions
1995,12/6/2015,root vegetables
4666,2/24/2015,beef
1994,11/3/2015,pip fruit
4892,9/1/2015,frozen vegetables
3531,8/29/2015,white bread
1148,4/15/2015,shopping bags
1787,10/31/2015,other vegetables
4215,5/31/2015,yogurt
2158,1/8/2015,sliced cheese
2510,9/29/2015,house keeping products
3180,10/19/2015,condensed milk
3207,8/8/2015,sweet spreads
1226,12/11/2015,white bread
1682,6/25/2015,shopping bags
1509,4/11/2015,root vegetables
2364,6/21/2015,yogurt
4679,10/11/2015,tropical fruit
4324,5/1/2015,tropical fruit
3497,6/14/2015,whole milk
1008,7/21/2015,root vegetables
4572,10/29/2015,rolls/buns
4030,4/7/2015,brown bread
2422,12/8/2015,other vegetables
2694,11/24/2015,pip fruit
3481,3/8/2015,dishes
3821,3/1/2015,herbs
3752,8/20/2015,newspapers
3262,8/12/2015,other vegetables
1370,6/28/2015,whole milk
1090,8/31/2015,dishes
3862,11/18/2015,fruit/vegetable juice
4495,8/4/2015,other vegetables
2492,1/11/2015,soda
4688,1/8/2015,other vegetables
3633,7/14/2015,pastry
3709,8/8/2015,herbs
1220,9/2/2015,onions
4236,11/25/2015,pip fruit
3308,8/19/2015,newspapers
1183,12/6/2015,butter
1999,8/24/2015,tropical fruit
4828,11/10/2015,root vegetables
3608,12/10/2015,honey
3983,9/9/2015,sweet spreads
3460,7/24/2015,curd
1703,2/21/2015,pork
1969,7/23/2015,citrus fruit
2646,3/6/2015,liver loaf
1777,4/22/2015,whole milk
4967,6/8/2015,whole milk
4291,7/29/2015,citrus fruit
2267,11/11/2015,brown bread
3579,2/6/2015,rolls/buns
3959,5/10/2015,domestic eggs
2271,11/20/2015,root vegetables
3621,9/4/2015,root vegetables
3491,11/6/2015,root vegetables
1542,4/28/2015,yogurt
4098,9/1/2015,pip fruit
4117,11/8/2015,citrus fruit
3289,3/31/2015,tropical fruit
1883,5/11/2015,whole milk
3659,6/21/2015,brown bread
1364,6/20/2015,ice cream
3184,4/9/2015,whole milk
3113,5/3/2015,domestic eggs
1135,4/29/2015,other vegetables
1394,2/14/2015,bottled water
2381,1/13/2015,UHT-milk
4110,11/28/2015,root vegetables
4043,1/21/2015,other vegetables
3491,6/6/2015,root vegetables
2044,12/16/2015,semi-finished bread
4191,4/28/2015,chicken
1312,5/18/2015,oil
2191,10/11/2015,misc. beverages
1032,8/23/2015,root vegetables
3790,10/28/2015,coffee
3588,8/19/2015,other vegetables
4598,3/18/2015,brown bread
3394,6/15/2015,grapes
2202,6/24/2015,root vegetables
2431,7/18/2015,shopping bags
4207,3/17/2015,rolls/buns
2580,10/24/2015,yogurt
4825,9/6/2015,whipped/sour cream
4368,12/10/2015,cream cheese 
4852,6/17/2015,pastry
1595,6/20/2015,whole milk
1678,9/14/2015,frozen dessert
4667,7/5/2015,other vegetables
2631,9/27/2015,root vegetables
1623,1/3/2015,pastry
1784,5/26/2015,other vegetables
2379,9/19/2015,other vegetables
4361,1/27/2015,rolls/buns
3419,7/25/2015,pot plants
1286,12/8/2015,soda
1236,11/5/2015,cling film/bags
3585,6/3/2015,frozen meals
4773,9/11/2015,whipped/sour cream
4114,5/4/2015,fruit/vegetable juice
4700,3/16/2015,cream cheese 
4120,1/12/2015,pip fruit
3416,7/7/2015,frozen vegetables
1038,2/4/2015,pip fruit
3267,1/18/2015,yogurt
3402,6/1/2015,other vegetables
3013,8/21/2015,root vegetables
4807,1/27/2015,UHT-milk
2172,2/3/2015,sugar
1388,3/4/2015,root vegetables
3309,1/21/2015,other vegetables
2194,5/6/2015,red/blush wine
4603,1/21/2015,root vegetables
1631,5/2/2015,mayonnaise
2712,11/9/2015,soda
